year,month,latitude,scenario,temperature
2037,4,18,COMMITTED,295.71
2038,4,18,COMMITTED,296.03
2039,4,18,COMMITTED,295.65
2040,4,18,COMMITTED,294.16
2041,4,18,COMMITTED,296.61
2042,4,18,COMMITTED,295.25
2043,4,18,COMMITTED,297.24
2044,4,18,COMMITTED,296.58
2045,4,18,COMMITTED,293
2046,4,18,COMMITTED,296.77
2047,4,18,COMMITTED,292.87
2048,4,18,COMMITTED,296.8
2049,4,18,COMMITTED,293.22
2050,4,18,COMMITTED,295.29
2051,4,18,COMMITTED,295.7
2052,4,18,COMMITTED,295.95
2053,4,18,COMMITTED,293.82
2054,4,18,COMMITTED,295.52
2055,4,18,COMMITTED,297.06
2056,4,18,COMMITTED,294.72
2057,4,18,COMMITTED,293.5
2058,4,18,COMMITTED,296.11
2059,4,18,COMMITTED,295.77
2060,4,18,COMMITTED,294.02
2061,4,18,COMMITTED,294.5
2062,4,18,COMMITTED,296.59
2063,4,18,COMMITTED,295.82
2064,4,18,COMMITTED,295.25
2065,4,18,COMMITTED,295.89
2066,4,18,COMMITTED,294.52
2067,4,18,COMMITTED,294.59
2068,4,18,COMMITTED,294.64
2069,4,18,COMMITTED,295.92
2070,4,18,COMMITTED,296.27
2071,4,18,COMMITTED,296.82
2072,4,18,COMMITTED,295.38
2073,4,18,COMMITTED,293.44
2074,4,18,COMMITTED,295.69
2075,4,18,COMMITTED,296.34
2076,4,18,COMMITTED,295.16
2077,4,18,COMMITTED,295.91
2078,4,18,COMMITTED,295.41
2079,4,18,COMMITTED,295.68
2080,4,18,COMMITTED,294.5
2081,4,18,COMMITTED,293.11
2082,4,18,COMMITTED,295.23
2083,4,18,COMMITTED,294.84
2084,4,18,COMMITTED,294.09
2085,4,18,COMMITTED,294.64
2086,4,18,COMMITTED,295.51
2087,4,18,COMMITTED,294.95
2088,4,18,COMMITTED,296.4
2089,4,18,COMMITTED,295.34
2090,4,18,COMMITTED,295.26
2091,4,18,COMMITTED,294.78
2092,4,18,COMMITTED,294.85
2093,4,18,COMMITTED,295.96
2094,4,18,COMMITTED,295.84
2095,4,18,COMMITTED,296.87
2096,4,18,COMMITTED,297.37
2097,4,18,COMMITTED,297.16
2098,4,18,COMMITTED,296.01
2099,4,18,COMMITTED,295.68
2100,4,18,COMMITTED,295.57
2001,5,18,COMMITTED,293.97
2002,5,18,COMMITTED,294.08
2003,5,18,COMMITTED,294.2
2004,5,18,COMMITTED,294.53
2005,5,18,COMMITTED,293.95
2006,5,18,COMMITTED,294.61
2007,5,18,COMMITTED,294.07
2008,5,18,COMMITTED,294.77
2009,5,18,COMMITTED,293.81
2010,5,18,COMMITTED,294.67
2011,5,18,COMMITTED,295.11
2012,5,18,COMMITTED,293.21
2013,5,18,COMMITTED,294.16
2014,5,18,COMMITTED,295.55
2015,5,18,COMMITTED,295.57
2016,5,18,COMMITTED,294.39
2017,5,18,COMMITTED,296.09
2018,5,18,COMMITTED,295.03
2019,5,18,COMMITTED,294.14
2020,5,18,COMMITTED,294.48
2021,5,18,COMMITTED,295.88
2022,5,18,COMMITTED,293.74
2023,5,18,COMMITTED,295
2024,5,18,COMMITTED,296.53
2025,5,18,COMMITTED,294.92
2026,5,18,COMMITTED,294.66
2027,5,18,COMMITTED,292.97
2028,5,18,COMMITTED,295.71
2029,5,18,COMMITTED,295.58
2030,5,18,COMMITTED,294.1
2031,5,18,COMMITTED,295.49
2032,5,18,COMMITTED,295.05
2033,5,18,COMMITTED,295.14
2034,5,18,COMMITTED,294.96
2035,5,18,COMMITTED,294.48
2036,5,18,COMMITTED,294.4
2037,5,18,COMMITTED,294.88
2038,5,18,COMMITTED,296.66
2039,5,18,COMMITTED,293.64
2040,5,18,COMMITTED,294.65
2041,5,18,COMMITTED,295.42
2042,5,18,COMMITTED,293.93
2043,5,18,COMMITTED,294.49
2044,5,18,COMMITTED,295.27
2045,5,18,COMMITTED,293.9
2046,5,18,COMMITTED,296.17
2047,5,18,COMMITTED,293.88
2048,5,18,COMMITTED,296.04
2049,5,18,COMMITTED,294.62
2050,5,18,COMMITTED,294.36
2051,5,18,COMMITTED,294.02
2052,5,18,COMMITTED,294.51
2053,5,18,COMMITTED,293.95
2054,5,18,COMMITTED,293.83
2055,5,18,COMMITTED,294.97
2056,5,18,COMMITTED,295.44
2057,5,18,COMMITTED,293.48
2058,5,18,COMMITTED,294.34
2059,5,18,COMMITTED,295.04
2060,5,18,COMMITTED,294.94
2061,5,18,COMMITTED,296.66
2062,5,18,COMMITTED,294.1
2063,5,18,COMMITTED,297.08
2064,5,18,COMMITTED,295.13
2065,5,18,COMMITTED,294.85
2066,5,18,COMMITTED,293.87
2067,5,18,COMMITTED,292.76
2068,5,18,COMMITTED,294.61
2069,5,18,COMMITTED,295.2
2070,5,18,COMMITTED,294.73
2071,5,18,COMMITTED,295.1
2072,5,18,COMMITTED,294.87
2073,5,18,COMMITTED,295.33
2074,5,18,COMMITTED,294.48
2075,5,18,COMMITTED,296.07
2076,5,18,COMMITTED,294.74
2077,5,18,COMMITTED,294.96
2078,5,18,COMMITTED,295.63
2079,5,18,COMMITTED,295.02
2080,5,18,COMMITTED,293.26
2081,5,18,COMMITTED,294.28
2082,5,18,COMMITTED,294.71
2083,5,18,COMMITTED,293.7
2084,5,18,COMMITTED,294.99
2085,5,18,COMMITTED,295.92
2086,5,18,COMMITTED,294.39
2087,5,18,COMMITTED,294.84
2088,5,18,COMMITTED,294.46
2089,5,18,COMMITTED,296.24
2090,5,18,COMMITTED,297.6
2091,5,18,COMMITTED,298.24
2092,5,18,COMMITTED,294.33
2093,5,18,COMMITTED,294.02
2094,5,18,COMMITTED,294.33
2095,5,18,COMMITTED,296.03
2096,5,18,COMMITTED,294.56
2097,5,18,COMMITTED,296.11
2098,5,18,COMMITTED,295.7
2099,5,18,COMMITTED,295.24
2100,5,18,COMMITTED,295.68
2001,6,18,COMMITTED,294.3
2002,6,18,COMMITTED,294.13
2003,6,18,COMMITTED,294.2
2004,6,18,COMMITTED,294.21
2005,6,18,COMMITTED,294.09
2006,6,18,COMMITTED,293.58
2007,6,18,COMMITTED,294.19
2008,6,18,COMMITTED,295.37
2009,6,18,COMMITTED,294.51
2010,6,18,COMMITTED,294.35
2011,6,18,COMMITTED,294.25
2012,6,18,COMMITTED,294.6
2013,6,18,COMMITTED,293.39
2014,6,18,COMMITTED,294.74
2015,6,18,COMMITTED,294
2016,6,18,COMMITTED,294.38
2017,6,18,COMMITTED,295
2018,6,18,COMMITTED,294.7
2019,6,18,COMMITTED,294.27
2020,6,18,COMMITTED,295.08
2021,6,18,COMMITTED,294.9
2022,6,18,COMMITTED,294.25
2023,6,18,COMMITTED,295.01
2024,6,18,COMMITTED,293.91
2025,6,18,COMMITTED,294.03
2026,6,18,COMMITTED,294.21
2027,6,18,COMMITTED,294.13
2028,6,18,COMMITTED,294.25
2029,6,18,COMMITTED,294.5
2030,6,18,COMMITTED,293.79
2031,6,18,COMMITTED,294.54
2032,6,18,COMMITTED,293.62
2033,6,18,COMMITTED,294.45
2034,6,18,COMMITTED,295.15
2035,6,18,COMMITTED,294.55
2036,6,18,COMMITTED,294.58
2037,6,18,COMMITTED,293.54
2038,6,18,COMMITTED,294.58
2039,6,18,COMMITTED,293.91
2040,6,18,COMMITTED,294.51
2041,6,18,COMMITTED,293.87
2042,6,18,COMMITTED,294.63
2043,6,18,COMMITTED,295.17
2044,6,18,COMMITTED,293.87
2045,6,18,COMMITTED,293.86
2046,6,18,COMMITTED,294.49
2047,6,18,COMMITTED,293.7
2048,6,18,COMMITTED,294.87
2049,6,18,COMMITTED,294.24
2050,6,18,COMMITTED,294.16
2051,6,18,COMMITTED,294.42
2052,6,18,COMMITTED,295.42
2053,6,18,COMMITTED,294.19
2054,6,18,COMMITTED,294.1
2055,6,18,COMMITTED,294.75
2056,6,18,COMMITTED,294.27
2057,6,18,COMMITTED,294.57
2058,6,18,COMMITTED,294.45
2059,6,18,COMMITTED,294.85
2060,6,18,COMMITTED,293.49
2061,6,18,COMMITTED,294.36
2062,6,18,COMMITTED,294.76
2063,6,18,COMMITTED,295.2
2064,6,18,COMMITTED,293.81
2065,6,18,COMMITTED,295.42
2066,6,18,COMMITTED,293.83
2067,6,18,COMMITTED,294
2068,6,18,COMMITTED,294.53
2069,6,18,COMMITTED,294.03
2070,6,18,COMMITTED,294.2
2071,6,18,COMMITTED,294.73
2072,6,18,COMMITTED,295.59
2073,6,18,COMMITTED,293.49
2074,6,18,COMMITTED,294.67
2075,6,18,COMMITTED,293.97
2076,6,18,COMMITTED,294.67
2077,6,18,COMMITTED,294.08
2078,6,18,COMMITTED,294.96
2079,6,18,COMMITTED,294.53
2080,6,18,COMMITTED,293.79
2081,6,18,COMMITTED,294.04
2082,6,18,COMMITTED,294.32
2083,6,18,COMMITTED,293.9
2084,6,18,COMMITTED,294.37
2085,6,18,COMMITTED,294.3
2086,6,18,COMMITTED,294.84
2087,6,18,COMMITTED,294.56
2088,6,18,COMMITTED,293.87
2089,6,18,COMMITTED,294.17
2090,6,18,COMMITTED,294.91
2091,6,18,COMMITTED,294.44
2092,6,18,COMMITTED,294.8
2093,6,18,COMMITTED,293.98
2094,6,18,COMMITTED,293.85
2095,6,18,COMMITTED,294.86
2096,6,18,COMMITTED,293.84
2097,6,18,COMMITTED,294.43
2098,6,18,COMMITTED,294.63
2099,6,18,COMMITTED,294.75
2100,6,18,COMMITTED,294.71
2001,7,18,COMMITTED,294.15
2002,7,18,COMMITTED,293.59
2003,7,18,COMMITTED,294.64
2004,7,18,COMMITTED,294.12
2005,7,18,COMMITTED,293.44
2006,7,18,COMMITTED,293.49
2007,7,18,COMMITTED,293.75
2008,7,18,COMMITTED,294.57
2009,7,18,COMMITTED,294.17
2010,7,18,COMMITTED,294
2011,7,18,COMMITTED,294.59
2012,7,18,COMMITTED,294.11
2013,7,18,COMMITTED,293.97
2014,7,18,COMMITTED,294.4
2015,7,18,COMMITTED,294.09
2016,7,18,COMMITTED,293.53
2017,7,18,COMMITTED,294
2018,7,18,COMMITTED,293.4
2019,7,18,COMMITTED,294.63
2020,7,18,COMMITTED,294.45
2021,7,18,COMMITTED,294.02
2022,7,18,COMMITTED,294.17
2023,7,18,COMMITTED,294
2024,7,18,COMMITTED,293.38
2025,7,18,COMMITTED,293.48
2026,7,18,COMMITTED,294.61
2027,7,18,COMMITTED,294.29
2028,7,18,COMMITTED,294.18
2029,7,18,COMMITTED,294.32
2030,7,18,COMMITTED,294.53
2031,7,18,COMMITTED,293.53
2032,7,18,COMMITTED,294.03
2033,7,18,COMMITTED,293.98
2034,7,18,COMMITTED,294.35
2035,7,18,COMMITTED,294.14
2036,7,18,COMMITTED,294.16
2037,7,18,COMMITTED,294.06
2038,7,18,COMMITTED,294
2039,7,18,COMMITTED,294.18
2040,7,18,COMMITTED,293.53
2041,7,18,COMMITTED,294.1
2042,7,18,COMMITTED,294.85
2043,7,18,COMMITTED,293.66
2044,7,18,COMMITTED,293.95
2045,7,18,COMMITTED,294.3
2046,7,18,COMMITTED,294.39
2047,7,18,COMMITTED,294.09
2048,7,18,COMMITTED,294.26
2049,7,18,COMMITTED,293.96
2050,7,18,COMMITTED,294.45
2051,7,18,COMMITTED,294.62
2052,7,18,COMMITTED,294.07
2053,7,18,COMMITTED,294.46
2054,7,18,COMMITTED,293.25
2055,7,18,COMMITTED,294.38
2056,7,18,COMMITTED,294.26
2057,7,18,COMMITTED,293.97
2058,7,18,COMMITTED,294.23
2059,7,18,COMMITTED,294.48
2060,7,18,COMMITTED,293.79
2061,7,18,COMMITTED,294.21
2062,7,18,COMMITTED,294.39
2063,7,18,COMMITTED,295.06
2064,7,18,COMMITTED,294.68
2065,7,18,COMMITTED,294.16
2066,7,18,COMMITTED,294.44
2067,7,18,COMMITTED,294.09
2068,7,18,COMMITTED,294.74
2069,7,18,COMMITTED,294.11
2070,7,18,COMMITTED,293.84
2071,7,18,COMMITTED,294
