ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
human,1877,1900,female,large
human,1910,1969,male,small
human,1911,1981,male,small
human,1916,1992,female,small
human,1911,1988,male,small
human,1879,1911,female,small
human,1914,2006,female,small
human,1856,1926,male,large
human,1892,1909,male,small
human,1867,1946,female,small
human,1859,1929,male,small
human,1940,2000,male,large
human,1943,1994,female,large
human,1939,2002,male,large
human,1937,2008,female,large
human,1942,1995,female,small
human,1933,1998,female,large
human,1955,1994,male,large
human,1945,2009,female,large
human,1955,2013,female,small
human,1850,1921,male,large
human,1856,1922,female,large
human,1883,1932,male,small
human,1892,1973,female,small
human,1876,1924,male,small
human,1930,2000,male,small
human,1900,1968,male,small
human,1904,1990,female,small
human,1948,1979,male,small
human,1932,2012,male,small
human,1948,1993,male,large
human,1913,1993,male,small
human,1917,2000,female,small
human,1931,2007,male,large
human,1984,2000,female,large
human,1883,1953,male,small
human,1920,2003,male,large
human,1915,1990,female,large
human,1881,1957,female,small
human,1879,1956,female,small
human,1873,1947,male,small
human,1874,1909,female,large
human,1901,1981,male,small
human,1917,1977,female,small
human,1921,1982,male,small
human,1951,1985,male,small
human,1882,1883,male,small
human,1944,2002,male,small
human,1955,2013,female,small
human,1939,2013,female,small
human,1889,1963,female,small
human,1905,1985,female,small
human,1927,1981,male,small
human,1925,1990,male,small
human,1929,2017,female,small
human,1905,1991,female,small
human,1921,1984,male,small
human,1954,1990,male,small
human,1884,1971,male,small
human,1888,1983,female,small
human,1909,1975,male,small
human,1913,2016,female,small
human,1904,1977,male,small
human,1910,2003,female,small
human,1904,1985,male,large
human,1909,1983,female,large
human,1972,1976,female,small
human,1910,1977,male,small
human,1932,1988,female,large
human,1924,1988,male,large
human,1924,1990,female,small
human,1859,1913,female,large
human,1928,1999,male,small
human,1901,1973,male,large
human,1907,1997,female,large
human,1939,2014,male,large
human,1816,1892,female,small
human,1924,1990,male,small
human,1953,2011,male,large
human,1896,1896,male,small
human,1984,2011,male,large
human,1856,1933,male,large
human,1859,1930,female,large
human,1898,1979,male,small
human,1902,2004,female,small
human,1895,1895,male,small
human,1892,1894,female,small
human,1888,1958,male,small
human,1826,1905,male,large
human,1840,1915,female,large
human,1909,2006,male,small
human,1913,2001,female,small
human,1907,1983,male,small
human,1907,2001,female,small
human,1958,2000,male,small
human,1947,2011,male,large
human,1864,1945,male,large
human,1873,1946,female,large
human,1898,1899,male,small
human,1825,1898,male,small
human,1833,1912,female,small
human,1860,1939,male,small
human,1855,1939,female,small
human,1847,1886,male,small
human,1859,1941,female,small
human,1850,1931,male,small
human,1892,1893,male,small
human,1862,1898,male,large
human,1887,1956,male,small
human,1889,1937,female,small
human,1851,1924,male,large
human,1865,1934,female,large
human,1856,1914,male,small
human,1886,1929,male,small
human,1853,1925,male,small
human,1969,1990,male,small
human,1958,1992,male,large
human,1995,2014,male,large
human,1995,2011,male,large
human,1953,2013,female,large
human,1866,1953,female,small
human,1864,1916,male,small
human,1885,1900,male,small
human,1866,1902,male,large
human,1865,1944,female,large
human,1926,2013,female,large
human,1912,1938,female,small
human,1883,1956,male,large
human,1888,1976,female,large
human,1909,1996,male,large
human,1909,1985,female,large
human,1899,1983,male,large
human,1903,1989,female,large
human,1900,1990,female,large
human,1906,1994,male,large
human,1908,1990,female,large
human,1908,1998,male,small
human,1912,2003,female,small
human,1898,1982,female,small
human,1915,2002,male,large
human,1924,2009,female,large
human,1903,1973,female,small
human,1872,1906,male,small
human,1873,1905,female,small
human,1870,1929,male,small
human,1849,1898,female,large
human,1875,1913,female,small
human,1893,1946,male,small
human,1854,1936,female,small
human,1850,1907,male,small
human,1897,1898,male,small
human,1893,1945,female,small
human,1886,1910,male,small
human,1874,1965,female,small
human,1860,1944,male,small
human,1893,1900,male,small
human,1896,1988,female,small
human,1897,1983,male,small
human,1920,2006,male,small
human,1915,2008,male,small
human,1922,2008,female,small
human,1896,1899,male,small
human,1882,1912,male,small
human,1853,1922,male,small
human,1859,1923,female,small
human,1878,1976,female,small
human,1862,1932,female,small
human,1910,1910,male,small
human,1888,1979,female,small
human,1883,1912,male,large
human,1882,1900,male,large
human,1863,1901,male,large
human,1833,1911,female,large
human,1884,1977,male,small
human,1866,1952,female,small
human,1861,1930,male,small
human,1897,1897,male,small
human,1897,1991,female,large
human,1868,1914,male,small
