ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
HUMAN,1919,2009,F,L
HUMAN,1852,1905,M,L
HUMAN,1875,1939,F,L
HUMAN,1816,1890,M,S
HUMAN,1830,1909,F,S
HUMAN,1900,1996,F,S
HUMAN,1895,1985,F,S
HUMAN,1864,1956,F,S
HUMAN,1852,1926,M,S
HUMAN,1878,1944,F,S
HUMAN,1877,1943,M,S
HUMAN,1896,1946,M,S
HUMAN,1903,1990,F,S
HUMAN,1896,1947,M,S
HUMAN,1954,2012,F,L
HUMAN,1890,1947,M,L
HUMAN,1872,1873,M,L
HUMAN,1832,1890,M,S
HUMAN,1845,1923,F,S
HUMAN,1848,1930,M,S
HUMAN,1862,1930,F,S
HUMAN,1904,1946,F,S
HUMAN,1830,1914,M,L
HUMAN,1840,1920,F,L
HUMAN,1821,1904,F,L
HUMAN,1856,1914,M,L
HUMAN,1899,1990,F,L
HUMAN,1894,1980,M,L
HUMAN,1901,1954,F,L
HUMAN,1888,1975,F,L
HUMAN,1889,1978,F,L
HUMAN,1913,1974,M,L
HUMAN,1827,1897,F,L
HUMAN,1922,1922,M,L
HUMAN,1922,1922,M,L
HUMAN,1912,1997,F,L
HUMAN,1903,1983,M,L
HUMAN,1827,1897,F,L
HUMAN,1874,1933,F,L
HUMAN,1864,1939,M,L
HUMAN,1896,1932,M,L
HUMAN,1898,1923,M,L
HUMAN,1924,2010,M,S
HUMAN,1901,1993,M,S
HUMAN,1901,1995,F,S
HUMAN,1842,1930,M,S
HUMAN,1853,1943,F,S
HUMAN,1924,2010,M,S
HUMAN,1878,1896,M,S
HUMAN,1888,1912,M,S
HUMAN,1880,1928,F,S
HUMAN,1960,1994,F,S
HUMAN,1869,1884,F,S
HUMAN,1920,1990,M,S
HUMAN,1920,1986,M,S
HUMAN,1907,1999,M,S
HUMAN,1907,1998,F,S
HUMAN,1931,1977,F,S
HUMAN,1923,2012,M,L
HUMAN,1901,1992,M,L
HUMAN,1905,1991,F,L
HUMAN,1902,1902,M,S
HUMAN,1876,1936,M,S
HUMAN,1878,1963,M,S
HUMAN,1906,1907,M,S
HUMAN,1926,2016,F,L
HUMAN,1908,1956,M,L
HUMAN,1890,1948,M,L
HUMAN,1900,1900,F,L
HUMAN,1926,1981,M,L
HUMAN,1870,1903,F,L
HUMAN,1859,1937,M,L
HUMAN,1888,1917,M,L
HUMAN,1894,1983,M,L
HUMAN,1902,1988,F,L
HUMAN,1896,1958,F,L
HUMAN,1920,1943,M,L
HUMAN,1923,2010,M,L
HUMAN,1950,2016,M,L
HUMAN,1950,2011,F,L
HUMAN,1927,2011,M,S
HUMAN,1927,2016,F,S
HUMAN,1877,1902,M,S
HUMAN,1868,1951,M,L
HUMAN,1875,1941,F,L
HUMAN,1879,1898,M,L
HUMAN,1870,1958,F,S
HUMAN,1858,1876,F,S
HUMAN,1866,1915,F,L
HUMAN,1864,1945,M,L
HUMAN,1848,1908,M,S
HUMAN,1857,1912,F,S
HUMAN,1877,1965,F,S
HUMAN,1856,1922,M,S
HUMAN,1874,1929,F,S
HUMAN,1897,1987,F,S
HUMAN,1898,1993,M,S
HUMAN,1861,1905,F,S
HUMAN,1864,1918,M,S
HUMAN,1921,2014,F,S
HUMAN,1892,1981,M,S
HUMAN,1895,1983,F,S
HUMAN,1852,1935,F,S
HUMAN,1898,1970,F,S
HUMAN,1891,1912,M,S
HUMAN,1866,1897,F,L
HUMAN,1874,1964,F,S
HUMAN,1872,1918,M,S
HUMAN,1826,1910,F,L
HUMAN,1828,1909,M,L
HUMAN,1871,1906,M,L
HUMAN,1903,1913,M,L
HUMAN,1866,1941,M,L
HUMAN,1870,1948,F,L
HUMAN,1879,1912,M,L
HUMAN,1854,1895,M,L
HUMAN,1879,1951,M,L
HUMAN,1888,1976,F,S
HUMAN,1880,1978,M,S
HUMAN,1885,1949,M,S
HUMAN,1891,1929,F,S
HUMAN,1861,1922,F,S
HUMAN,1857,1944,M,S
HUMAN,1925,2007,M,L
HUMAN,1935,2010,F,L
HUMAN,1921,1997,F,S
HUMAN,1915,1974,M,S
HUMAN,1907,1930,F,L
HUMAN,1869,1935,M,L
HUMAN,1877,1954,F,L
HUMAN,1854,1909,F,L
HUMAN,1888,1952,M,S
HUMAN,1862,1922,F,S
HUMAN,1856,1910,M,S
HUMAN,1890,1942,M,S
HUMAN,1918,1994,M,S
HUMAN,1906,1964,M,S
HUMAN,1936,1945,M,S
HUMAN,1933,2008,M,S
HUMAN,1912,1997,F,S
HUMAN,1910,1991,M,S
HUMAN,1906,1980,M,S
HUMAN,1919,2001,F,S
HUMAN,1871,1906,F,S
HUMAN,1861,1928,F,S
HUMAN,1875,1946,F,S
HUMAN,1870,1967,F,S
HUMAN,1835,1910,M,S
HUMAN,1838,1890,F,S
HUMAN,1865,1908,M,S
HUMAN,1869,1926,F,S
HUMAN,1897,1913,M,S
HUMAN,1867,1960,M,S
HUMAN,1862,1932,M,S
