,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2080,4,284.45,291.27,286.67,285.70
2081,4,284.77,287.41,283.12,286.17
2082,4,281.53,286.66,286.71,286.05
2083,4,284.79,287.74,286.19,286.09
2084,4,284.21,287.83,287.18,286.23
2085,4,282.50,287.11,286.03,285.16
2086,4,284.91,286.73,285.35,284.35
2087,4,283.78,289.10,288.04,283.19
2088,4,285.84,284.68,289.38,281.18
2089,4,284.78,287.32,285.65,287.98
2090,4,283.26,288.09,286.99,281.13
2091,4,284.34,289.46,291.40,285.15
2092,4,283.98,286.65,290.51,286.95
2093,4,283.85,289.22,289.09,286.32
2094,4,286.54,286.22,291.22,285.10
2095,4,282.31,290.38,289.12,286.56
2096,4,281.94,289.03,288.54,288.85
2097,4,285.27,286.11,285.87,287.21
2098,4,285.92,287.58,290.64,286.00
2099,4,284.77,287.42,287.71,285.54
2100,4,284.12,287.92,286.65,288.53
2001,5,294.13,285.54,287.68,291.08
2002,5,288.48,287.56,288.43,289.56
2003,5,291.33,292.13,291.88,289.68
2004,5,289.02,292.82,290.76,292.35
2005,5,292.99,290.03,289.53,291.35
2006,5,294.60,294.76,288.41,291.14
2007,5,289.72,290.52,290.48,290.09
2008,5,290.93,288.71,286.83,286.85
2009,5,292.44,290.83,290.06,289.57
2010,5,293.43,290.08,286.52,292.67
2011,5,290.94,288.69,291.23,289.45
2012,5,287.81,289.95,288.53,293.85
2013,5,289.43,289.95,285.02,291.63
2014,5,291.61,293.59,290.44,289.82
2015,5,288.89,290.59,288.48,287.83
2016,5,293.34,289.44,290.43,294.27
2017,5,291.76,292.97,291.12,285.83
2018,5,290.50,293.70,291.42,288.15
2019,5,291.94,295.13,291.31,290.17
2020,5,286.97,290.34,289.25,290.19
2021,5,291.89,292.32,289.70,291.22
2022,5,290.50,289.13,291.73,291.97
2023,5,290.30,292.85,292.16,291.95
2024,5,289.66,293.20,292.80,291.13
2025,5,289.07,290.77,288.10,290.92
2026,5,289.29,287.97,290.88,293.85
2027,5,291.95,292.99,290.89,291.00
2028,5,288.35,295.83,294.48,289.62
2029,5,291.87,290.60,287.48,287.58
2030,5,291.13,286.82,297.08,289.87
2031,5,292.17,293.14,290.64,289.79
2032,5,292.87,292.17,291.06,292.04
2033,5,288.41,291.00,292.24,294.19
2034,5,289.62,291.41,291.66,295.67
2035,5,288.47,289.98,291.79,294.11
2036,5,290.25,288.46,290.67,291.67
2037,5,293.76,295.74,289.57,294.33
2038,5,292.43,294.62,295.43,290.71
2039,5,290.84,292.74,292.40,293.87
2040,5,291.16,289.46,297.40,293.45
2041,5,289.81,292.64,294.29,293.40
2042,5,290.96,292.90,293.26,289.32
2043,5,291.41,292.61,295.40,292.06
2044,5,292.30,288.73,292.42,289.64
2045,5,287.65,292.61,292.83,294.08
2046,5,290.97,293.94,292.55,293.20
2047,5,292.00,290.12,291.20,289.24
2048,5,290.94,296.63,289.81,291.30
2049,5,291.65,293.59,293.34,294.98
2050,5,292.12,294.49,292.67,294.59
2051,5,288.50,289.93,288.77,291.24
2052,5,289.92,292.55,292.73,292.47
2053,5,291.74,292.58,295.15,294.38
2054,5,292.65,292.76,291.38,291.12
2055,5,295.76,293.70,297.19,293.90
2056,5,289.59,292.03,291.26,290.91
2057,5,291.76,291.91,293.21,290.91
2058,5,288.06,290.76,290.38,293.78
2059,5,289.78,293.37,295.54,291.49
2060,5,291.97,287.57,292.16,294.65
2061,5,288.98,292.28,293.83,291.66
2062,5,289.04,290.96,294.75,293.84
2063,5,289.15,291.22,292.42,288.19
2064,5,294.31,291.28,289.44,294.04
2065,5,287.47,294.93,294.12,293.39
2066,5,289.17,293.13,291.57,288.93
2067,5,293.43,293.18,294.33,293.53
2068,5,288.83,293.68,294.88,292.38
2069,5,291.72,291.08,293.55,291.69
2070,5,291.17,292.01,295.31,295.08
2071,5,291.70,294.97,291.17,293.91
2072,5,290.29,290.43,290.94,291.82
2073,5,291.30,290.57,294.65,289.01
2074,5,288.33,296.65,295.88,295.04
2075,5,292.40,291.35,294.64,291.25
2076,5,290.43,294.88,290.32,293.54
2077,5,289.69,290.48,299.81,291.00
2078,5,288.67,294.68,294.44,291.16
2079,5,292.18,291.80,294.96,293.23
2080,5,289.92,294.29,290.64,294.83
2081,5,292.87,296.06,292.81,292.61
2082,5,289.50,291.50,292.16,290.84
2083,5,292.05,294.90,297.03,291.58
2084,5,295.12,297.49,298.15,292.02
2085,5,288.26,295.47,298.26,294.49
2086,5,289.16,291.84,292.74,291.81
2087,5,293.69,293.22,293.87,295.23
2088,5,289.62,293.08,296.37,290.06
2089,5,292.36,291.14,294.52,294.38
2090,5,289.38,293.91,299.44,291.39
2091,5,292.20,294.46,297.26,291.48
2092,5,289.20,290.21,296.32,293.42
2093,5,287.99,294.15,296.77,293.95
2094,5,291.73,291.90,294.86,295.67
2095,5,290.58,297.61,294.68,293.99
2096,5,287.43,295.14,294.19,294.20
2097,5,290.10,291.71,293.02,293.86
2098,5,289.91,296.60,294.15,297.03
2099,5,294.26,290.41,297.84,294.39
2100,5,291.42,293.05,292.27,294.46
