,,Committed ,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2092,4,294.85,298.63,299.03,295.79
2093,4,295.96,297.93,300.12,297.98
2094,4,295.84,296.76,298.76,297.01
2095,4,296.87,299.49,298.41,297.48
2096,4,297.37,297.79,302.58,296.80
2097,4,297.16,299.04,301.58,295.49
2098,4,296.01,297.97,298.84,296.51
2099,4,295.68,299.22,299.94,298.52
2100,4,295.57,299.16,301.90,300.69
2001,5,293.97,296.90,293.93,295.00
2002,5,294.08,295.70,293.40,292.92
2003,5,294.20,295.39,295.88,294.33
2004,5,294.53,295.30,294.84,293.58
2005,5,293.95,294.17,294.23,294.22
2006,5,294.61,294.18,293.94,294.52
2007,5,294.07,296.85,294.59,296.09
2008,5,294.77,293.73,293.33,294.73
2009,5,293.81,294.57,295.99,297.44
2010,5,294.67,294.28,294.88,293.87
2011,5,295.11,294.46,293.32,294.92
2012,5,293.21,294.80,294.30,293.91
2013,5,294.16,295.10,296.51,294.21
2014,5,295.55,294.38,294.37,294.29
2015,5,295.57,294.57,294.13,296.76
2016,5,294.39,294.08,294.55,293.78
2017,5,296.09,294.20,293.57,293.69
2018,5,295.03,296.65,294.99,294.47
2019,5,294.14,294.43,295.06,294.95
2020,5,294.48,296.50,295.07,298.54
2021,5,295.88,294.00,295.36,295.02
2022,5,293.74,293.84,294.01,294.47
2023,5,295.00,294.51,295.71,293.78
2024,5,296.53,295.49,295.15,294.54
2025,5,294.92,295.62,296.75,293.86
2026,5,294.66,293.39,295.40,294.44
2027,5,292.97,294.23,297.04,296.89
2028,5,295.71,294.36,295.22,295.29
2029,5,295.58,296.93,295.29,297.00
2030,5,294.10,296.87,297.37,295.16
2031,5,295.49,297.16,294.97,295.86
2032,5,295.05,295.42,296.40,295.55
2033,5,295.14,295.98,294.89,295.36
2034,5,294.96,296.59,294.48,294.76
2035,5,294.48,295.54,295.97,295.81
2036,5,294.40,297.43,294.77,294.36
2037,5,294.88,294.62,295.36,296.24
2038,5,296.66,294.83,295.30,294.81
2039,5,293.64,294.83,296.75,295.99
