,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2052,3,263.79,268.13,268.00,262.63
2053,3,263.38,267.95,264.03,261.39
2054,3,262.24,268.89,264.51,269.67
2055,3,259.50,267.27,267.47,268.80
2056,3,270.40,262.07,269.49,265.21
2057,3,263.43,259.77,259.08,261.56
2058,3,256.36,263.42,265.11,270.04
2059,3,261.41,259.34,266.06,266.20
2060,3,258.59,260.20,263.91,257.60
2061,3,256.27,261.67,272.28,260.79
2062,3,259.59,258.78,259.94,267.12
2063,3,259.21,263.19,267.09,270.86
2064,3,259.74,264.24,265.82,266.39
2065,3,254.36,265.53,259.63,270.15
2066,3,263.83,263.87,268.03,263.05
2067,3,268.54,267.05,262.85,261.96
2068,3,254.08,268.50,264.68,262.51
2069,3,262.15,262.02,269.14,264.17
2070,3,260.16,265.16,265.11,261.82
2071,3,265.27,259.01,258.84,267.74
2072,3,265.43,258.53,262.23,260.81
2073,3,263.78,263.81,261.17,256.23
2074,3,256.35,262.21,261.23,259.48
2075,3,265.11,272.00,262.21,263.45
2076,3,258.33,264.46,263.49,265.46
2077,3,258.97,262.84,267.05,273.01
2078,3,263.74,258.84,269.50,262.87
2079,3,266.91,267.46,269.35,260.74
2080,3,263.35,258.21,267.68,264.94
2081,3,254.23,265.43,268.72,265.42
2082,3,257.17,265.87,267.94,260.47
2083,3,258.49,272.77,268.97,260.87
2084,3,267.33,265.95,262.12,257.25
2085,3,263.86,256.19,270.53,256.04
2086,3,261.09,264.29,265.67,264.39
2087,3,261.46,266.29,263.63,259.65
2088,3,263.61,268.91,264.15,262.67
2089,3,263.00,269.17,266.48,264.09
2090,3,260.19,267.77,263.56,261.90
2091,3,266.92,272.12,262.15,263.51
2092,3,258.12,264.78,267.82,269.26
2093,3,269.33,266.44,261.57,268.07
2094,3,256.66,266.04,260.06,263.39
2095,3,261.17,265.00,271.43,268.91
2096,3,268.10,266.60,265.52,263.74
2097,3,267.66,263.22,266.38,269.94
2098,3,257.41,261.11,266.39,263.87
2099,3,260.04,262.65,269.82,264.28
2100,3,263.94,256.07,268.71,264.67
2001,4,266.01,274.01,272.97,270.14
2002,4,274.34,271.47,267.94,267.71
2003,4,268.20,272.53,274.43,278.26
2004,4,269.86,273.77,273.12,269.67
2005,4,269.54,272.07,270.08,268.26
2006,4,265.42,273.20,271.30,275.65
2007,4,271.53,272.29,273.28,272.97
2008,4,268.50,273.99,276.33,270.93
2009,4,273.52,275.56,273.88,275.09
2010,4,271.49,272.87,266.19,271.35
2011,4,273.54,274.03,270.83,273.00
2012,4,269.43,273.08,275.02,274.16
2013,4,273.82,272.81,271.24,271.11
2014,4,268.95,276.02,274.22,277.75
2015,4,272.84,271.44,276.28,269.02
2016,4,273.82,273.30,273.43,274.68
2017,4,267.56,274.21,269.25,269.13
2018,4,271.32,275.74,269.99,269.83
2019,4,277.30,269.96,269.87,272.13
2020,4,271.08,269.61,271.24,270.85
2021,4,272.87,269.66,270.43,272.36
2022,4,266.17,276.15,268.30,265.30
2023,4,269.55,267.72,270.33,270.00
2024,4,269.27,270.09,277.45,272.30
2025,4,273.41,271.27,267.28,275.55
2026,4,276.21,273.00,274.71,270.23
2027,4,269.08,269.87,272.70,274.79
2028,4,271.79,268.80,272.66,270.85
2029,4,272.38,270.01,274.17,274.72
2030,4,268.57,275.96,274.17,274.43
2031,4,272.68,273.62,270.21,272.69
2032,4,271.95,272.40,274.71,274.87
2033,4,272.02,273.87,272.14,275.88
2034,4,272.60,267.60,276.42,273.87
2035,4,274.62,276.71,269.77,277.97
2036,4,274.83,273.14,270.64,274.88
2037,4,272.19,272.33,276.51,275.57
2038,4,272.06,272.65,268.33,272.05
2039,4,271.38,275.46,274.79,273.10
2040,4,274.55,266.72,275.78,274.13
2041,4,271.59,271.32,275.03,273.99
2042,4,271.41,270.15,268.35,272.59
2043,4,274.43,272.69,274.95,275.35
2044,4,271.45,273.91,273.22,276.96
2045,4,271.77,276.56,273.95,274.63
2046,4,273.81,274.77,270.16,276.59
2047,4,269.86,270.95,274.80,271.35
2048,4,276.01,270.37,272.65,269.95
2049,4,273.57,275.68,268.81,273.77
2050,4,271.95,271.81,271.10,273.92
2051,4,266.54,269.12,271.86,273.65
2052,4,269.25,276.52,275.52,267.03
2053,4,273.15,264.00,270.67,272.84
2054,4,267.98,275.13,272.61,270.70
2055,4,269.88,275.59,277.03,275.40
2056,4,274.26,271.80,275.56,275.41
2057,4,271.89,269.92,271.93,270.72
2058,4,271.43,271.66,276.84,272.20
2059,4,274.20,274.85,275.26,276.18
2060,4,277.01,269.72,270.29,272.54
2061,4,270.04,276.01,276.48,274.22
2062,4,272.90,277.90,277.36,272.66
2063,4,271.62,268.55,273.73,274.64
2064,4,266.77,271.72,275.93,275.62
2065,4,274.88,273.62,275.90,273.89
2066,4,272.52,273.03,272.61,267.73
2067,4,270.44,275.21,274.69,270.14
2068,4,268.89,275.45,276.03,272.97
2069,4,274.22,273.14,272.84,275.37
2070,4,267.13,274.80,268.50,270.67
2071,4,274.35,272.22,271.12,275.76
2072,4,275.08,275.24,276.30,276.17
2073,4,270.23,270.80,276.81,271.72
2074,4,266.76,278.29,273.82,270.48
2075,4,273.71,274.17,275.20,268.19
2076,4,269.45,273.15,272.36,271.07
2077,4,269.32,275.01,274.05,278.32
2078,4,276.39,272.07,275.86,271.84
2079,4,272.80,274.20,272.55,274.03
2080,4,272.70,274.06,276.71,271.97
2081,4,273.65,274.62,271.59,276.71
2082,4,267.61,275.85,275.13,275.12
2083,4,274.74,276.56,275.80,274.82
2084,4,273.90,274.88,277.47,273.47
2085,4,271.54,270.53,272.15,272.71
2086,4,275.56,275.35,274.15,269.09
2087,4,273.34,275.59,277.54,273.07
2088,4,268.72,276.85,273.10,274.70
2089,4,274.66,272.71,276.80,275.71
2090,4,273.87,272.13,274.36,272.04
2091,4,272.50,276.00,275.59,277.71
2092,4,267.98,273.59,271.75,276.34
2093,4,271.85,276.16,278.17,278.48
2094,4,274.94,271.48,272.46,275.07
2095,4,271.37,273.33,278.44,276.03
2096,4,269.17,275.00,273.34,273.34
2097,4,277.47,272.75,277.88,273.77
2098,4,271.72,275.38,275.16,275.01
2099,4,267.40,275.13,273.06,271.77
2100,4,274.58,272.16,274.49,274.48
2001,5,281.47,278.28,279.07,280.77
2002,5,280.14,276.68,279.68,278.69
2003,5,279.71,277.14,280.29,282.03
2004,5,277.88,277.79,277.52,279.32
2005,5,277.05,281.81,280.68,278.32
2006,5,278.30,281.54,281.62,280.81
2007,5,277.98,277.94,278.58,281.69
2008,5,280.48,281.33,279.28,276.42
2009,5,278.09,278.39,278.43,280.23
2010,5,277.73,281.07,279.42,278.32
2011,5,278.85,277.12,278.47,277.74
2012,5,277.07,277.57,279.03,281.46
2013,5,280.76,278.74,275.24,277.91
2014,5,279.08,283.89,278.01,282.70
2015,5,279.11,277.55,276.75,281.57
2016,5,281.45,275.71,278.85,278.44
2017,5,280.33,280.69,277.63,275.77
2018,5,281.87,277.80,278.89,278.78
2019,5,280.45,279.45,280.93,280.49
2020,5,278.40,279.05,278.97,276.94
2021,5,279.94,279.38,277.48,277.91
2022,5,277.73,281.45,281.72,281.02
2023,5,279.88,278.95,279.57,280.48
2024,5,277.54,276.85,277.93,281.58
2025,5,279.70,279.26,278.94,280.18
2026,5,280.41,280.18,280.97,280.51
2027,5,280.08,278.42,279.42,281.91
2028,5,277.84,278.36,278.42,278.20
2029,5,280.46,280.18,279.47,279.98
2030,5,278.74,278.61,277.31,278.44
2031,5,277.64,280.38,281.46,277.70
2032,5,278.83,278.74,280.26,277.60
2033,5,281.38,279.73,278.45,278.26
2034,5,278.47,280.93,279.80,280.33
2035,5,279.00,282.59,278.39,280.29
2036,5,279.02,278.70,278.90,279.55
2037,5,278.38,282.80,278.95,283.67
2038,5,280.75,282.62,278.13,278.06
2039,5,278.08,279.88,278.46,279.88
2040,5,280.95,278.86,279.83,278.09
2041,5,279.65,277.94,280.80,279.37
2042,5,281.02,277.58,277.40,280.03
2043,5,281.06,278.28,279.76,277.88
2044,5,281.20,277.34,280.48,279.43
2045,5,277.58,282.93,279.17,279.54
2046,5,277.60,281.02,281.04,282.36
2047,5,276.20,276.91,280.55,277.73
2048,5,279.61,280.23,277.69,278.97
2049,5,277.87,280.95,277.97,281.56
2050,5,278.92,279.15,283.09,280.44
2051,5,280.45,281.90,280.73,277.28
2052,5,278.33,283.84,278.75,274.14
2053,5,278.37,279.11,276.22,282.74
2054,5,278.03,277.82,280.30,279.63
2055,5,277.26,280.03,277.71,280.29
2056,5,282.52,280.99,280.42,278.72
2057,5,278.58,279.15,279.03,279.48
2058,5,276.47,279.41,281.73,279.29
2059,5,278.47,282.59,283.51,281.67
2060,5,282.83,278.01,282.60,278.18
2061,5,278.10,282.39,280.12,282.55
2062,5,278.06,281.16,282.06,278.07
2063,5,277.45,283.15,281.31,278.70
2064,5,278.56,276.44,276.90,278.94
2065,5,279.90,280.86,280.48,282.35
